id,description,link,type
1,"Titre du Projet : Chatbot Intelligent de Triage Médical (POC CHSA)  Résumé : Conception, entraînement et déploiement complet d'un agent conversationnel bilingue (FR/EN) de triage des urgences. Le modèle analyse les symptômes en langage naturel et répond en JSON strict : verdict d'urgence (Haute / Moyenne / Faible) avec justification médicale, ou question de clarification (multi-tours), avec traçabilité complète des interactions.  Points Clés & Responsabilités :  Dataset : 4 771 exemples SFT + 500 paires DPO bilingues, nettoyés, enrichis via API Mistral et anonymisés avec Microsoft Presidio + spaCy (conformité RGPD), versionnés et publiés sur Hugging Face Hub (repos privés). Fine-tuning : Qwen3-1.7B-Base fine-tuné en QLoRA 4-bit (LoRA r=16) avec Unsloth + TRL sur GPU 6 Go — SFT (1 400 steps) puis alignement DPO (Direct Preference Optimization), tracking MLflow. Debug avancé : identification de la cause racine d'un bug d'arrêt de génération (embeddings des tokens ChatML jamais entraînés dans Qwen3-Base) et correctif par chirurgie d'embeddings — arrêt EOS passé de 0% à 100%. Programmation de Prompts : bootstrap few-shot inspiré de DSPy, prompt système aligné entre entraînement et inférence. Serving Haute Performance : modèle fusionné servi par vLLM sur pod GPU (OpenAI-compatible), latence P95 de 1,8 s de bout en bout. API & Interface : FastAPI + SQLAlchemy + PostgreSQL (traçabilité des triages), interface Streamlit multi-tours. MLOps : CI/CD GitHub Actions avec gate d'évaluation BLOQUANTE (rappel urgence Haute >= 0.90 — sécurité patient), build d'images vers ghcr.io, déploiement SSH automatisé, rollback par tag. Observabilité : Prometheus + Grafana (latence P50/P95/P99, volumes par urgence, taux d'erreur), logs structurés Fluentd + Elasticsearch. Résultats : rappel Haute 100% (5/5), accuracy 90%, arrêt EOS 100%, latence P95 1,8 s.  Stack Technologique : Python, PyTorch, Transformers, Unsloth, TRL, PEFT, BitsAndBytes, DSPy, vLLM, FastAPI, Streamlit, SQLAlchemy, PostgreSQL, Presidio, spaCy, MLflow, Docker, Docker Compose, GitHub Actions, ghcr.io, Hugging Face Hub, Prometheus, Grafana, Fluentd, Elasticsearch.  Mots-clés : LLM, fine-tuning, SFT, DPO, LoRA, triage médical, données de santé, RGPD, anonymisation, vLLM, MLOps, CI/CD, gate d'évaluation, monitoring, bilingue.",https://github.com/MarieSainte/triage-medical-chatbot,Projet etudiant
2,"Expérience Projet : Agent Intelligent d'Ouvertures d'Échecs (FFE Chess Agent) Description du Projet : Conception et développement d'un agent conversationnel intelligent (POC) dédié à l'apprentissage des ouvertures d'échecs pour la Fédération Française des Échecs (FFE). Le système agit comme un coach virtuel capable d'analyser des positions en temps réel, d'expliquer la stratégie théorique et de recommander des ressources pédagogiques multimédias.  Problématique résolue : Offrir un accompagnement interactif et personnalisé aux jeunes espoirs, en combinant la rigueur des moteurs d'analyse (Stockfish) avec la richesse pédagogique du web (WikiChess, YouTube, Lichess).  Fonctionnalités Clés :  Plateau Interactif : Une interface utilisateur permettant de jouer des coups et de visualiser les variantes. Analyse Hybride : Identification automatique des ouvertures via l'API Lichess et évaluation tactique des coups hors-théorie via le moteur Stockfish. Base de connaissances (brique interne) : l'agent puise des explications stratégiques et historiques dans une base WikiChess, comme un simple outil à son service — ce n'est pas la nature du projet. Recommandation Multimédia : Intégration de l'API YouTube pour suggérer des vidéos pertinentes en fonction de la position exacte sur l'échiquier. Orchestration Complexe : Utilisation de graphes de décision pour gérer la logique de l'agent (basculement entre théorie, analyse et recherche d'information). Stack Technologique Complète :  Backend & IA : Langage : Python 3.10 Framework API : FastAPI IA Agentique : LangGraph (pour l'orchestration du workflow) et LangChain. Vector Database : Milvus (stockage et recherche de similarité pour le RAG). Databases : MongoDB (stockage de l'historique et des logs). Moteur d'échecs : Stockfish. Frontend : Framework : Angular Logique Échecs : chess.js et Chessground (pour le rendu du plateau). Infrastructure & DevOps : Conteneurisation : Docker et Docker Compose. Gestion des dépendances : Poetry (Backend) et NPM (Frontend). APIs Tierces : Lichess API (Théorie des ouvertures). YouTube Data API v3 (Contenu pédagogique). Nature du projet : agent IA (agentique), et NON un système RAG. Mots-clés : agent IA, agentique, orchestration, graphes de décision, LangGraph, FastAPI, Angular, Milvus, Stockfish, Docker, Python, échecs.",https://github.com/MarieSainte/ffe-ai,Projet etudiant
3,"Description du Projet : Système de Scoring de Crédit (End-to-End) Objectif principal : Conception et déploiement en production d'un système complet de prédiction de risque de crédit, allant de l'entraînement du modèle à la mise en place d'une infrastructure de monitoring robuste. Le projet vise à automatiser les décisions de crédit tout en garantissant la transparence et la fiabilité des prédictions.  Points clés & Réalisations techniques :  Pipeline de Machine Learning : Entraînement d'un modèle de classification haute performance utilisant XGBoost et Scikit-learn. Optimisation des hyperparamètres via Mlflow et Optuna pour maximiser l'AUC et minimiser les faux négatifs. Inférence Haute Performance : Conversion du modèle au format ONNX via skl2onnx et intégration d'ONNX Runtime pour réduire la latence des prédictions et assurer l'interopérabilité. Architecture Microservices : Développement d'une API REST asynchrone avec FastAPI, validée par Pydantic. Utilisation de PostgreSQL pour l'archivage des dossiers de crédit et des prédictions en temps réel. Frontend Interactif : Création d'un tableau de bord décisionnel avec Streamlit, permettant aux agents de crédit de visualiser les scores et l'importance des variables via des graphiques dynamiques (Plotly, Seaborn). Monitoring & Observabilité (MLOps) : Détection de la dérive des données (Data Drift) et rapport de performance du modèle avec Evidently AI. Collecte de métriques système et métiers avec Prometheus et visualisation en temps réel via des dashboards Grafana. Centralisation des logs applicatifs via une stack Fluentd et Elasticsearch. Infrastructure & DevOps : Conteneurisation complète de la stack avec Docker et orchestration via Docker Compose. Workflow CI/CD automatisé avec GitHub Actions pour le déploiement sur Hugging Face Spaces. Gestion du stockage des modèles et des datasets de référence sur Google Cloud Storage (GCS). Optimisation du code : Profilage des performances de l'API avec cProfile et visualisation via Snakeviz pour identifier et résoudre les goulots d'étranglement. Technologies utilisées :  Langage : Python (FastAPI, Streamlit, Pandas, NumPy). Machine Learning : Scikit-learn, XGBoost, Optuna, MLflow. Inférence : ONNX, ONNX Runtime, skl2onnx. Base de données : PostgreSQL. Monitoring & Logging : Evidently AI, Prometheus, Grafana, Fluentd, Elasticsearch, Kibana. Infrastructure : Docker, Docker Compose, Google Cloud Storage (GCS), NVIDIA DCGM Exporter (GPU monitoring). CI/CD : GitHub Actions. Visualisation & Profiling : Plotly, Seaborn, Matplotlib, Snakeviz. Mots-clés pour le RAG : Credit Scoring, MLOps, FastAPI, Docker, Machine Learning Monitoring, Data Drift, ONNX, XGBoost, CI/CD, Cloud Storage, Observabilité.",https://github.com/MarieSainte/credit_score,Projet etudiant
4,"Nom du Projet : Puls-Events Chatbot (POC) Rôle : Développeur IA / Backend Type de projet : Preuve de Concept (POC) d'un assistant conversationnel intelligent spécialisé dans la recommandation d'événements culturels.  🎯 Objectif et Fonctionnalités Développement d'un chatbot ""Full-Stack AI"" capable de répondre en temps réel aux questions sur les événements culturels à Paris. Le système utilise une architecture RAG (Retrieval-Augmented Generation) pour garantir des réponses fiables, sourcées et sans hallucinations, en se basant sur des données réelles.  🛠️ Stack Technique et Technologies Utilisées Langage & Gestion : Python (3.10+), Poetry (gestion des dépendances). Intelligence Artificielle (RAG) : Framework : LangChain (orchestration de la chaîne RAG et des prompts dynamiques). LLM (Génération) : Mistral AI (mistral-medium-latest) via API. Embeddings (Vectorisation) : Hugging Face Hub (modèle multilingue sentence-transformers/paraphrase-multilingual-mpnet-base-v2). Base de Données Vectorielle : FAISS (Facebook AI Similarity Search) pour une recherche sémantique ultra-rapide. Backend & API : Framework : FastAPI (création d'API REST asynchrones). Serveur : Uvicorn. Frontend : Gradio (interface de chat interactive intégrée). Data : Open Agenda API (consommation de données en temps réel via requests et transformation via Pandas). Évaluation & QA : Ragas (framework d'évaluation LLM-as-a-judge) pour mesurer la Faithfulness, Context Precision, Context Recall et Answer Relevancy. Déploiement : Docker (conteneurisation multi-services), GitHub Actions (CI/CD). 🚀 Défis Techniques Relevés Pipeline RAG de bout en bout : Mise en place d'un flux complet allant du ""Fetch"" de données externes à l'indexation vectorielle locale. Qualité des réponses : Configuration de prompts système stricts pour limiter l'IA aux données du contexte (zéro hallucination). Évaluation quantitative : Mise en place d'un dataset de test (test_cases.json) pour monitorer les performances du modèle avec Ragas, atteignant une précision de contexte de 1.0 sur les tests de référence.",https://github.com/MarieSainte/puls-events-chatbot,Projet etudiant
5,"Projet : Portfolio Intelligent avec Chatbot RAG Résumé du projet : Développement complet d'un portfolio interactif haut de gamme pour un Ingénieur IA & LLM, intégrant un assistant conversationnel intelligent capable d'extraire des informations pertinentes et véridiques à partir d'une base de connaissances de projets réels. Le projet démontre une maîtrise de la chaîne complète de l'IA générative (LLM App) et du développement web moderne.  Fonctionnalités Clés :  Système RAG (Retrieval-Augmented Generation) : Implémentation d'une architecture RAG permettant au chatbot de citer des sources précises (projets, liens, technologies) pour répondre aux questions des recruteurs, garantissant ainsi l'absence d'hallucination. Base de Données Vectorielle : Utilisation de ChromaDB pour le stockage et l'indexation sémantique des expériences professionnelles. Génération d'Embeddings : Mise en œuvre du modèle all-MiniLM-L6-v2 via Sentence-Transformers pour la vectorisation des données textuelles. Intégration LLM : Utilisation de l'API Mistral AI avec une stratégie de System Prompting avancée pour assurer un ton professionnel et informatif. Mind-Map Sémantique : Développement d'un module de visualisation des compétences (ML, NLP, CV, LLM) pour une navigation intuitive dans l'expertise technique. Internationalisation (i18n) : Support multilingue complet fluide. Stack Technique Détaillée :  Backend (Architecture Micro-services) : Python 3.x : Langage coeur pour le traitement de données et l'IA. FastAPI : Framework web asynchrone haute performance pour l'API. Uvicorn : Serveur ASGI pour le déploiement. Pydantic : Validation rigoureuse des schémas de données. Pandas : Manipulation et prétraitement des données d'expérience en CSV avant indexation. IA & Vectorisation : Mistral AI SDK : Interface avec les modèles de langage Mistral. ChromaDB : Base de données vectorielle pour la recherche sémantique. Sentence-Transformers : Librairie pour la génération locale d'embeddings optimisés. Frontend (UI/UX Premium) : Angular 21 : Framework framework moderne pour une interface réactive. TypeScript : Typage statique pour une maintenance et une robustesse accrues. SCSS : Design système avancé avec animations fluides et thémisation dynamique. NGX-Translate : Gestion de la localisation et des traductions dynamiques. RxJS : Gestion réactive des flux de données et des appels API. Outils & Environnement : Dotenv : Gestion sécurisée des clés API et configurations. Git : Versioning et workflow de développement.",,Projet personnel
6,"Titre du Projet : Neurova — Application mobile d'entraînement cérébral (sortie prévue le 1er août 2026 sur Android et iOS — à venir, pas encore disponible publiquement)  Résumé : Conception et développement complet, en solo, d'une application mobile de brain-training : 11 jeux cognitifs solo répartis en 4 modules (Mémoire, Spatial, Mots, Logique) et 4 jeux multijoueur en temps réel à 2 joueurs via WebSocket. Produit complet allant du gameplay au backend temps réel, jusqu'à la monétisation et au déploiement.  Points Clés & Responsabilités :  Application mobile cross-platform : Flutter/Dart (Android + iOS), onboarding, mode sombre complet, favoris persistants, deep links pour les invitations multijoueur, i18n. Backend temps réel serveur-autoritatif : Rust (Axum, Tokio, SeaORM) — machines à états par jeu côté serveur (les clients ne font que rendre et soumettre les entrées), gestion des rooms et fan-out WebSocket. Authentification : JWT (access + refresh tokens hashés en base). Données : PostgreSQL (état durable) + Redis (présence et rate-limiting par token bucket). Monétisation : Google AdMob (rewarded / banner / interstitial) — déblocage de niveaux par publicités récompensées — et abonnement premium pour les niveaux experts. MLOps/DevOps : CI/CD GitHub Actions — build d'image Docker, push vers ghcr.io, déploiement SSH automatisé sur serveur cloud (docker compose).  Stack Technologique : Flutter, Dart, Rust, Axum, Tokio, SeaORM, WebSocket, PostgreSQL, Redis, JWT, Google AdMob, Docker, Docker Compose, GitHub Actions, ghcr.io.  Mots-clés : application mobile, Flutter, Rust, temps réel, WebSocket, multijoueur, jeux cognitifs, monétisation, AdMob, abonnement, CI/CD, produit complet, Android, iOS.",,Projet personnel
7,"Titre du Projet : BrainScanAI — Classification d'IRM cérébrales par Deep Learning  Résumé : Détection et classification de tumeurs cérébrales sur images IRM. Comparaison d'une approche supervisée classique (features + scikit-learn) et d'un réseau de neurones convolutif (CNN) entraîné avec PyTorch.  Points Clés :  Pipeline d'images médicales : préparation du dataset IRM, augmentation de données avec Albumentations, exploration et curation visuelle avec FiftyOne. Modélisation : CNN PyTorch (torchvision) pour la classification des scans, comparaison avec des modèles scikit-learn ; analyse des représentations par réduction de dimension UMAP. Évaluation rigoureuse adaptée au contexte médical (métriques de rappel prioritaires).  Stack Technologique : Python, PyTorch, torchvision, Albumentations, FiftyOne, UMAP, scikit-learn, Pandas, Matplotlib/Seaborn.  Mots-clés : deep learning, computer vision, CNN, imagerie médicale, IRM, classification de tumeurs, PyTorch, augmentation de données.",,Projet etudiant
8,"Titre du Projet : Agent d'Apprentissage par Renforcement — Atterrisseur Lunaire  Résumé : Entraînement d'un agent de Reinforcement Learning capable de faire atterrir un module lunaire (environnement LunarLander de Gymnasium / Box2D) avec Stable-Baselines3, et mise à disposition via une API et des interfaces de visualisation.  Points Clés :  Entraînement RL : Stable-Baselines3 sur Gymnasium (Box2D), suivi des courbes d'apprentissage avec TensorBoard. Visualisation : génération de vidéos d'épisodes (MoviePy, Pygame) pour analyser le comportement de l'agent. Mise à disposition : API FastAPI, interface Gradio et dashboard Streamlit pour explorer les performances de l'agent.  Stack Technologique : Python, Gymnasium, Box2D, Stable-Baselines3, TensorBoard, FastAPI, Gradio, Streamlit, MoviePy, Pygame.  Mots-clés : reinforcement learning, RL, Stable-Baselines3, Gymnasium, agent autonome, TensorBoard, simulation.",https://github.com/MarieSainte/bot-lunaire-eagle,Projet etudiant
9,"Titre du Projet : CheckItAI — Pipeline d'acquisition multimodale pour la lutte contre les fake news  Résumé : Mise en place d'un pipeline de données automatisé qui collecte des publications (texte + image) depuis des sources d'actualité, les normalise et les stocke pour alimenter des solutions IA de détection de fake news.  Points Clés :  Extraction multi-sources : flux RSS/Atom (BBC, The Guardian, Al Jazeera), normalisation des items en schéma commun (id stable, titre, lien, résumé, date). Chargement PostgreSQL : tables articles et fetch_runs (métadonnées de collecte, erreurs, volumétrie). Orchestration : DAG Airflow exécuté toutes les 10 minutes (collecte incrémentale). Observabilité métier : dashboard Streamlit de KPI — qualité des données, latence de collecte, coûts, taux d'erreurs.  Stack Technologique : Python, Airflow, PostgreSQL, Streamlit, Docker, Docker Compose, RSS/Atom.  Mots-clés : data engineering, pipeline de données, ETL, orchestration, Airflow, multimodal, fake news, KPI, monitoring.",,Projet etudiant
10,"Titre du Projet : Futurisys — API de prédiction d'attrition des employés en production  Résumé : Déploiement en production d'un POC de Machine Learning prédisant la probabilité de démission des employés, afin d'aider les RH à anticiper les départs. Accent mis sur les bonnes pratiques d'ingénierie logicielle.  Points Clés :  API de prédiction : FastAPI documentée (Swagger/OpenAPI), validation Pydantic, base PostgreSQL. Qualité logicielle : gestion de versions Git, tests unitaires Pytest, pipeline CI/CD automatisant tests et déploiement. Déploiement : conteneurisation Docker/Docker Compose, hébergement sur Hugging Face Spaces (SDK Docker).  Stack Technologique : Python, FastAPI, scikit-learn, PostgreSQL, Pytest, Docker, Docker Compose, GitHub Actions, Hugging Face Spaces.  Mots-clés : mise en production, MLOps, API de prédiction, tests unitaires, CI/CD, RH, attrition, machine learning.",https://github.com/MarieSainte/futurisys_project,Projet etudiant
